gl,pt,es,la
inauguración,inauguração,inauguración,inauguratio
inanición,inanição,inanición,inanitio
inculpación,inculpação,inculpación,inculpatio
infestación,infestação,infestación,
inflación,inflação,inflación,inflatio
inhalación,inalação,inhalación,inhalatio
inmigración,imigração,inmigración,immigratio
inmolación,imolação,inmolación,immolatio
insolación,insolação,insolación,insolatio
insurrección,insurreição,insurrección,insurrectione
intención,intenção,intención,intentio
interpolación,interpolação,interpolación,interpolare
intersección,interseção,intersección,intersectio
intoxicación,intoxicação,intoxicación,intoxicatio
inundación,inundação,inundación,inundatio
iteración,iteração,iteración,iteratio
lactación,lactação,lactación,lactatiōne
liberación,liberação,liberación,liberatio
luxación,luxação,luxación,luxatione
lustración,lustração,lustración,lustratione
maduración,maturação,maduración,maturatio
mastigación,mastigação,masticación,masticatio
masturbación,masturbação,masturbación,masturbatio
mención,menção,mención,mentio
migración,migração,migración,migratio
moción,moção,moción,motio
munición,munição,munición,munitione
multiplicación,multiplicação,multiplicación,multiplicatio
mutilación,mutilação,mutilación,mutilatio
natación,natação,natación,
navegación,navegação,navegación,navigatio
nutrición,nutrição,nutrición,nutritio
ocupación,ocupação,ocupación,
oscilación,oscilação,oscilación,
ostentación,ostentação,altanería,ostentatio
palpación,palpação,palpación,palpatione
perención,perempção,perención,peremptio
perfección,perfeição,perfección,perfectio
perpetración,perpetração,perpetración,perpetratione
petición,petição,petición,petitio
precipitación,precipitação,precipitación,praecipitatio
prelación,prelação,prelación,prelatione
pregustación,pregustação,pregustación,praegustare
presunción,presunção,presunción,praesumptio
preterición,preterição,preterición,praeteritio
prevención,prevenção,prevención,praeventio
privación,privação,privación,privatio
proclamación,proclamação,proclamación,
procrastinación,proscratinação,procrastinación,
propagación,propagação,propagación,propagatio
provocación,provocação,provocación,provocatio
pulsación,pulsação,pulsación,pulsatio
punición,punição,punición,punitio
purgación,purgação,purgación,purgatione
purificación,purificação,Purificación,purificatio
putrefacción,putrefação,putrefacción,putrefactio
radiación,radiação,radiación,radiatio
reclamación,reclamação,reclamación,
redargución,redarguição,redargución,redargutione
redención,redenção,redención,redemptio
representación,representação,representación,repraesentatio
reputación,reputação,reputación,reputatio
retrogradación,retrogradação,retrogradación,retrogradatio
revelación,revelação,revelación,revelatio
retrospección,retrospecção,retrospección,
revolución,revolução,revolución,revolutio
santificación,santificação,santificación,
sanción,sanção,sanción,sanctio
sección,secção,sección,sectio
secreción,secreção,secreción,secretio
sensación,sensação,sensación,sensatio
significación,significação,significación,significatio
situación,situação,situación,situatio
solución,solução,solución,solutio
sublevación,sublevação,sublevación,sublevatio
subordinación,subordinação,subordinación,subordinatione
subvención,subvenção,subvención,subventione
sudación,sudação,sudación,sudatio
